,risk_score,3
185,76.0,0.2962962962962967
186,68.0,0.0
187,68.0,0.0
188,68.0,0.0
189,68.0,0.0
190,68.0,0.0
191,68.0,0.0
192,68.0,0.0
193,68.0,0.0
194,75.0,0.2592592592592595
195,79.0,0.40740740740740744
196,86.0,0.666666666666667
197,85.0,0.6296296296296298
198,76.0,0.2962962962962967
199,68.0,0.0
200,68.0,0.0
201,86.0,0.666666666666667
202,68.0,0.0
203,68.0,0.0
204,70.0,0.0740740740740744
205,68.0,0.0
206,75.0,0.2592592592592595
207,68.0,0.0
208,68.0,0.0
209,68.0,0.0
210,79.0,0.40740740740740744
211,68.0,0.0
212,68.0,0.0
213,88.0,0.7407407407407409
214,75.0,0.2592592592592595
215,68.0,0.0
216,68.0,0.0
217,68.0,0.0
218,68.0,0.0
219,75.0,0.2592592592592595
220,68.0,0.0
221,79.0,0.40740740740740744
222,68.0,0.0
223,68.0,0.0
224,80.0,0.44444444444444464
225,68.0,0.0
226,68.0,0.0
227,79.0,0.40740740740740744
228,68.0,0.0
229,75.0,0.2592592592592595
230,68.0,0.0
231,68.0,0.0
232,75.0,0.2592592592592595
233,68.0,0.0
234,76.0,0.2962962962962967
235,68.0,0.0
236,68.0,0.0
237,68.0,0.0
238,68.0,0.0
239,79.0,0.40740740740740744
240,68.0,0.0
241,68.0,0.0
242,68.0,0.0
243,75.0,0.2592592592592595
244,68.0,0.0
245,68.0,0.0
246,69.0,0.0370370370370372
247,69.0,0.0370370370370372
248,70.0,0.0740740740740744
249,69.0,0.0370370370370372
250,79.0,0.40740740740740744
251,79.0,0.40740740740740744
252,75.0,0.2592592592592595
253,68.0,0.0
254,76.0,0.2962962962962967
255,85.0,0.6296296296296298
256,68.0,0.0
257,68.0,0.0
258,68.0,0.0
259,75.0,0.2592592592592595
260,68.0,0.0
261,68.0,0.0
262,69.0,0.0370370370370372
263,68.0,0.0
264,68.0,0.0
265,68.0,0.0
266,70.0,0.0740740740740744
267,75.0,0.2592592592592595
268,68.0,0.0
269,68.0,0.0
270,68.0,0.0
271,68.0,0.0
272,68.0,0.0
273,68.0,0.0
274,75.0,0.2592592592592595
275,68.0,0.0
276,68.0,0.0
277,68.0,0.0
278,68.0,0.0
279,69.0,0.0370370370370372
280,68.0,0.0
281,68.0,0.0
282,68.0,0.0
283,68.0,0.0
284,79.0,0.40740740740740744
285,68.0,0.0
286,68.0,0.0
287,68.0,0.0
288,69.0,0.0370370370370372
289,68.0,0.0
290,68.0,0.0
291,68.0,0.0
292,86.0,0.666666666666667
293,80.0,0.44444444444444464
294,76.0,0.2962962962962967
295,68.0,0.0
296,68.0,0.0
297,68.0,0.0
298,70.0,0.0740740740740744
299,68.0,0.0
300,68.0,0.0
301,70.0,0.0740740740740744
302,68.0,0.0
303,68.0,0.0
304,68.0,0.0
305,68.0,0.0
306,69.0,0.0370370370370372
307,70.0,0.0740740740740744
308,68.0,0.0
309,68.0,0.0
310,79.0,0.40740740740740744
311,68.0,0.0
312,75.0,0.2592592592592595
313,68.0,0.0
314,68.0,0.0
315,75.0,0.2592592592592595
316,68.0,0.0
317,68.0,0.0
318,68.0,0.0
319,68.0,0.0
320,68.0,0.0
321,68.0,0.0
322,68.0,0.0
323,88.0,0.7407407407407409
324,68.0,0.0
325,68.0,0.0
326,69.0,0.0370370370370372
327,68.0,0.0
328,75.0,0.2592592592592595
329,68.0,0.0
330,68.0,0.0
331,80.0,0.44444444444444464
332,68.0,0.0
333,75.0,0.2592592592592595
334,68.0,0.0
335,69.0,0.0370370370370372
336,75.0,0.2592592592592595
337,70.0,0.0740740740740744
338,68.0,0.0
